Episode,Env,Steps,Reward
485,1,2,1.0
485,0,1,1.0
486,1,258,1.0
487,1,453,1.0
488,0,579,1.0
488,0,3,1.0
488,0,204,1.0
489,0,17,1.0
489,0,2,1.0
489,0,4,1.0
489,1,228,1.0
489,0,125,1.0
490,0,326,1.0
490,0,18,1.0
490,0,34,1.0
490,0,234,1.0
490,0,3,1.0
491,1,262,1.0
491,1,49,1.0
493,0,269,1.0
493,0,216,1.0
495,1,25,1.0
495,0,465,1.0
496,0,430,1.0
497,1,107,1.0
497,1,15,1.0
497,1,4,1.0
497,1,30,1.0
498,1,571,1.0
498,1,6,1.0
498,0,200,1.0
498,0,120,1.0
498,0,13,1.0
499,0,75,1.0
499,0,35,1.0
500,0,280,1.0
501,1,447,1.0
501,1,91,1.0
501,0,51,1.0
502,1,380,1.0
502,1,136,1.0
502,1,4,1.0
502,1,4,1.0
502,1,1,1.0
503,1,129,1.0
503,0,359,1.0
504,1,6,1.0
504,1,31,1.0
504,0,117,1.0
504,1,46,1.0
507,1,64,1.0
507,1,160,1.0
508,0,283,1.0
508,0,26,1.0
508,0,60,1.0
508,0,191,1.0
509,1,351,1.0
509,0,318,1.0
509,0,38,1.0
510,0,14,1.0
510,1,80,1.0
510,1,43,1.0
510,0,18,1.0
511,1,482,1.0
511,1,69,1.0
511,0,69,1.0
511,0,88,1.0
512,0,286,1.0
512,1,4,1.0
512,1,57,1.0
512,1,3,1.0
512,0,2,1.0
512,1,284,1.0
513,0,398,1.0
513,0,15,1.0
513,0,17,1.0
514,1,375,1.0
515,0,607,1.0
516,0,112,1.0
517,0,562,1.0
517,0,168,1.0
517,0,169,1.0
518,0,89,1.0
518,0,95,1.0
518,0,5,1.0
518,1,38,1.0
518,0,7,1.0
518,1,17,1.0
518,1,52,1.0
518,0,233,1.0
518,1,33,1.0
518,1,7,1.0
519,1,28,1.0
519,1,23,1.0
519,1,12,1.0
519,0,23,1.0
519,0,13,1.0
519,1,200,1.0
519,0,51,1.0
519,0,10,1.0
519,0,117,1.0
520,1,104,1.0
521,0,444,1.0
521,1,24,1.0
521,0,36,1.0
521,0,148,1.0
521,0,34,1.0
521,0,66,1.0
521,1,17,1.0
521,0,49,1.0
521,0,38,1.0
521,0,4,1.0
523,0,276,1.0
523,0,188,1.0
523,0,1,1.0
523,0,28,1.0
524,0,90,1.0
525,1,630,1.0
525,1,171,1.0
525,0,29,1.0
525,0,1,1.0
525,0,16,1.0
526,0,170,1.0
526,0,40,1.0
526,1,89,1.0
526,1,139,1.0
526,0,12,1.0
526,1,18,1.0
527,0,322,1.0
527,0,26,1.0
527,1,28,1.0
527,1,75,1.0
527,1,14,1.0
527,0,9,1.0
528,1,268,1.0
528,0,213,1.0
529,0,150,1.0
529,1,37,1.0
529,0,48,1.0
530,0,651,1.0
532,1,0,1.0
532,0,4,1.0
532,1,2,1.0
532,1,29,1.0
532,1,124,1.0
533,0,385,1.0
533,0,87,1.0
533,0,86,1.0
533,0,223,1.0
533,0,34,1.0
533,0,18,1.0
533,0,4,1.0
534,0,69,1.0
535,0,443,1.0
535,0,7,1.0
536,1,659,1.0
536,1,4,1.0
536,1,52,1.0
536,1,205,1.0
536,1,10,1.0
536,0,2,1.0
537,0,360,1.0
539,0,20,1.0
539,1,5,1.0
539,1,28,1.0
539,0,9,1.0
539,1,34,1.0
539,1,149,1.0
539,0,248,1.0
540,0,13,1.0
540,0,165,1.0
540,1,307,1.0
541,1,421,1.0
542,1,136,1.0
542,0,146,1.0
542,1,140,1.0
542,0,32,1.0
542,0,8,1.0
542,0,28,1.0
543,1,472,1.0
543,1,103,1.0
544,0,428,1.0
546,0,45,1.0
546,0,429,1.0
547,1,454,1.0
548,0,88,1.0
548,0,7,1.0
548,0,202,1.0
548,0,81,1.0
549,0,300,1.0
549,0,255,1.0
549,1,88,1.0
549,1,46,1.0
551,1,211,1.0
551,1,23,1.0
551,1,159,1.0
551,0,85,1.0
551,0,10,1.0
552,1,186,1.0
552,0,43,1.0
552,1,9,1.0
552,1,15,1.0
552,1,4,1.0
